Diabetes and Hypertension in Marshallese Adults: Results from Faith-Based Health Screenings.;/pubmed/27837454;McElfish PA, Rowland B, Long CR, Hudson J, Piel M, Buron B, Riklon S, Bing WI, Warmack TS.;J Racial Ethn Health Disparities. 2016 Nov 11. [Epub ahead of print];J Racial Ethn Health Disparities.  2016;PubMed;citation;PMID:27837454;pubmed;27837454;create date:2016/11/12 | first author:McElfish PA;;;;;;;;
Diabetes self-management education reduces risk of all-cause mortality in type 2 diabetes patients: a systematic review and meta-analysis.;/pubmed/27837440;He X, Li J, Wang B, Yao Q, Li L, Song R, Shi X, Zhang JA.;Endocrine. 2017 Mar;;;;;;;;;;;;;;;
Is there evidence of potential overtreatment of glycaemia in elderly people with type 2 diabetes? Data from the GUIDANCE study.;/pubmed/27837286;Müller N, Khunti K, Kuss O, Lindblad U, Nolan JJ, Rutten GE, Trento M, Porta M, Roth J, Charpentier G, Jörgens V, Müller UA.;Acta Diabetol. 2017 Feb;;;;;;;;;;;;;;;
New-onset diabetes mellitus after living-donor liver transplantation: association with graft synthetic function.;/pubmed/27837276;Yagi S, Kaido T, Iida T, Yoshizawa A, Okajima H, Uemoto S.;Surg Today. 2016 Nov 11. [Epub ahead of print];Surg Today.  2016;PubMed;citation;PMID:27837276;pubmed;27837276;create date:2016/11/12 | first author:Yagi S;;;;;;;;
Intact initiation of autophagy and mitochondrial fission by acute exercise in skeletal muscle of patients with Type 2 diabetes.;/pubmed/27837193;Kruse R, Pedersen AJ, Kristensen JM, Petersson SJ, Wojtaszewski JF, Højlund K.;Clin Sci (Lond). 2017 Jan 1;;;;;;;;;;;;;;;
Title;URL;Description;Details;ShortDetails;Resource;Type;Identifiers;Db;EntrezUID;Properties;;;;;;;;
Design of Hack-Resistant Diabetes Devices and Disclosure of Their Cyber Safety.;/pubmed/27837161;Sackner-Bernstein J.;J Diabetes Sci Technol. 2017 Mar;;;;;;;;;;;;;;;
A First-Trimester Biomarker Panel for Predicting the Development of Gestational Diabetes.;/pubmed/27837083;Farina A, Eklund E, Bernabini D, Paladino M, Righetti F, Monti G, Lambert-Messerlian G.;Reprod Sci. 2016 Nov 11. pii: 1933719116675057. [Epub ahead of print];Reprod Sci.  2016;PubMed;citation;PMID:27837083;pubmed;27837083;create date:2016/11/12 | first author:Farina A;;;;;;;;
Risk of diabetes mellitus associated with disease-modifying antirheumatic drugs and statins in rheumatoid arthritis.;/pubmed/27836820;Ozen G, Pedro S, Holmqvist ME, Avery M, Wolfe F, Michaud K.;Ann Rheum Dis. 2017 May;;;;;;;;;;;;;;;
Web-based Real-Time Case Finding for the Population Health Management of Patients With Diabetes Mellitus: A Prospective Validation of the Natural Language Processing-Based Algorithm With Statewide Electronic Medical Records.;/pubmed/27836816;Zheng L, Wang Y, Hao S, Shin AY, Jin B, Ngo AD, Jackson-Browne MS, Feller DJ, Fu T, Zhang K, Zhou X, Zhu C, Dai D, Yu Y, Zheng G, Li YM, McElhinney DB, Culver DS, Alfreds ST, Stearns F, Sylvester KG, Widen E, et al.;JMIR Med Inform. 2016 Nov 11;;;;;;;;;;;;;;;
Association of osteoglycin and FAM5C with bone turnover markers; bone mineral density; and vertebral fractures in postmenopausal women with type 2 diabetes mellitus.;/pubmed/27836731;Tanaka KI, Kanazawa I, Kaji H, Sugimoto T.;Bone. 2017 Feb;;;;;;;;;;;;;
Self-reported sitting time and prevalence of erectile dysfunction in Japanese patients with type 2 diabetes mellitus: The Dogo Study.;/pubmed/27836682;Furukawa S, Sakai T, Niiya T, Miyaoka H, Miyake T, Yamamoto S, Kanzaki S, Maruyama K, Tanaka K, Ueda T, Senba H, Torisu M, Minami H, Tanigawa T, Matsuura B, Hiasa Y, Miyake Y.;J Diabetes Complications. 2017 Jan;;;;;;;;;;;;;;;
Associations between long chain polyunsaturated fatty acids and cardiovascular lipid risk factors in youth with type 1 diabetes: SEARCH Nutrition Ancillary Study.;/pubmed/27836680;Couch SC, Crandell J, King I, Peairs A, Shah AS, Dolan LM, Tooze J, Crume T, Mayer-Davis E.;J Diabetes Complications. 2017 Jan;;;;;;;;;;;;;;;
[Breast cancer and diabetes mellitus: Complex interactions].;/pubmed/27836525;Bernard L, Reix N, Benabu JC, Gabriele V, Mathelin C.;Gynecol Obstet Fertil. 2016 Dec;;;;;;;;;;;;;;;
[Introduction of capillary glycosylated haemoglobin determination in a Primary Care Health Area: Multicentre study of the evolution of patients with type 2 diabetes mellitus].;/pubmed/27836420;Núñez-Sánchez MÁ, Cervantes-Cuesta MÁ, Brocal-Ibañez P, Salmeron-Arjona E, León-Martínez LP, Cerezo-Sanmartin M;;;;;;;;;;;;;;;;
Diabetes mellitus influences the expression of NPY and VEGF in neurons of rat trigeminal ganglion.;/pubmed/27836326;Jerić M, Vukojević K, Vuica A, Filipović N.;Neuropeptides. 2016 Nov 3. pii: S0143-4179(16)30086-5. doi: 10.1016/j.npep.2016.11.001. [Epub ahead of print];Neuropeptides.  2016;PubMed;citation;PMID:27836326;pubmed;27836326;create date:2016/11/12 | first author:Jerić M;;;;;;;;
Closed-loop insulin delivery in inpatients with type 2 diabetes: a randomised; parallel-group trial.;/pubmed/27836235;Thabit H, Hartnell S, Allen JM, Lake A, Wilinska ME, Ruan Y, Evans ML, Coll AP, Hovorka R.;Lancet Diabetes Endocrinol. 2017 Feb;;;;;;;;;;;;;;
2016 Prescott Lecture: Diabetes education-leadership through action.;/pubmed/27836122;Neumiller JJ.;J Am Pharm Assoc (2003). 2016 Nov - Dec;;;;;;;;;;;;;;;
Obesity and diabetes mellitus association in rural community of Katana; South Kivu; in Eastern Democratic Republic of Congo: Bukavu Observ Cohort Study Results.;/pubmed/27835951;Katchunga PB, Cikomola J, Tshongo C, Baleke A, Kaishusha D, Mirindi P, Tamburhe T, Kluyskens Y, Sadiki A, Bwanamudogo S, Kashongwe Z, Twagirumukiza M.;BMC Endocr Disord. 2016 Nov 11;;;;;;;;;;;;;
Sustained glycaemic control and less nocturnal hypoglycaemia with insulin glargine 300U/mL compared with glargine 100U/mL in Japanese adults with type 1 diabetes (EDITION JP 1 randomised 12-month trial including 6-month extension).;/pubmed/27835765;Matsuhisa M, Koyama M, Cheng X, Sumi M, Riddle MC, Bolli GB, Hirose T;;;;;;;;;;;;;;;;
Chemical components of respirable particulate matter associated with emergency hospital admissions for type 2 diabetes mellitus in Hong Kong.;/pubmed/27835752;Sun S, Qiu H, Ho KF, Tian L.;Environ Int. 2016 Dec;;;;;;;;;;;;;;;
Plaque progression assessed by a novel semi-automated quantitative plaque software on coronary computed tomography angiography between diabetes and non-diabetes patients: A propensity-score matching study.;/pubmed/27835741;Nakanishi R, Ceponiene I, Osawa K, Luo Y, Kanisawa M, Megowan N, Nezarat N, Rahmani S, Broersen A, Kitslaar PH, Dailing C, Budoff MJ.;Atherosclerosis. 2016 Dec;;;;;;;;;;;;;;;
Benefits and Harms of Sodium-Glucose Co-Transporter 2 Inhibitors in Patients with Type 2 Diabetes: A Systematic Review and Meta-Analysis.;/pubmed/27835680;Storgaard H, Gluud LL, Bennett C, Grøndahl MF, Christensen MB, Knop FK, Vilsbøll T.;PLoS One. 2016 Nov 11;;;;;;;;;;;;;;;
Validation of Brunei's Malay EQ-5D Questionnaire in Patients with Type 2 Diabetes.;/pubmed/27835652;Koh D, Abdullah AM, Wang P, Lin N, Luo N.;PLoS One. 2016 Nov 11;;;;;;;;;;;;;;;
Class I-Restricted T Cell-Associated Molecule Is a Marker for IFN-γ-Producing iNKT Cells in Healthy Subjects and Patients with Type 1 Diabetes.;/pubmed/27835062;Beristain-Covarrubias N, Canche-Pool EB, Ramirez-Velazquez C, Barragan-Galvez JC, Gomez-Diaz RA, Ortiz-Navarrete V.;J Interferon Cytokine Res. 2017 Jan;;;;;;;;;;;;;;;
Cardiovascular Outcomes of New Medications for Type 2 Diabetes.;/pubmed/27835045;Trujillo JM, Wettergreen SA, Nuffer WA, Ellis SL, McDermott MT.;Diabetes Technol Ther. 2016 Dec;;;;;;;;;;;;;;;
Glycemia; Treatment Satisfaction; Cognition; and Sleep Quality in Adults and Adolescents with Type 1 Diabetes When Using a Closed-Loop System Overnight Versus Sensor-Augmented Pump with Low-Glucose Suspend Function: A Randomized Crossover Study.;/pubmed/27835037;Sharifi A, De Bock MI, Jayawardene D, Loh MM, Horsburgh JC, Berthold CL, Paramalingam N, Bach LA, Colman PG, Davis EA, Grosman B, Hendrieckx C, Jenkins AJ, Kumareswaran K, Kurtz N, Kyoong A, MacIsaac RJ, Speight J, Trawley S, Ward GM, Roy A, Jones TW, et al.;Diabetes Technol Ther. 2016 Dec;;;;;;;;;;;;
Telmisartan decreases microalbuminuria in patients with type 2 diabetes mellitus following coronary artery bypass grafting.;/pubmed/27834982;Furat C, Dogan R, Ilhan G, Bayar E, Ozpak B, Kara H, Bozok Ş.;Cardiovasc J Afr. 2016 Nov 10;;;;;;;;;;;;;;;
Independent Factors of Changes of Ankle-Brachial Index in Peripheral Arterial Occlusive Disease in Elderly Patients with or without Diabetes.;/pubmed/27834825;Bąk E, Marcisz C, Kadłubowska M, Michalik A, Krawczyk B, Dobrzyń-Matusiak D, Krzemińska S, Fiałkowski T, Glądys E, Drosdzol-Cop A.;Int J Environ Res Public Health. 2016 Nov 8;;;;;;;;;;;;;;;
B Cell Receptor Affinity for Insulin Dictates Autoantigen Acquisition and B Cell Functionality in Autoimmune Diabetes.;/pubmed/27834793;Packard TA, Smith MJ, Conrad FJ, Johnson SA, Getahun A, Lindsay RS, Hinman RM, Friedman RS, Thomas JW, Cambier JC.;J Clin Med. 2016 Nov 8;;;;;;;;;;;;;;;
An emerging trend in functional foods for the prevention of cardiovascular disease and diabetes: Marine algal polyphenols.;/pubmed/27834493;Murray M, Dordevic AL, Ryan L, Bonham MP.;Crit Rev Food Sci Nutr. 2016 Nov 11:0. [Epub ahead of print];Crit Rev Food Sci Nutr.  2016;PubMed;citation;PMID:27834493;pubmed;27834493;create date:2016/11/12 | first author:Murray M;;;;;;;;
Associations between single-nucleotide polymorphisms of ADIPOQ; serum adiponectin and increased type 2 diabetes mellitus risk in Bahraini individuals.;/pubmed/27834443;Al Hannan FA, O'Farrell PA, Morgan MP, Tighe O, Culligan KG.;East Mediterr Health J. 2016 Nov 2;;;;;;;;;;;;;;
Diabetes: Plasma membrane key to diet-induced insulin resistance.;/pubmed/27834388;Holmes D.;Nat Rev Endocrinol. 2017 Jan;;;;;;;;;;;;;;;
Lack of association between FokI polymorphism in vitamin D receptor gene (VDR) & type 2 diabetes mellitus in the Tunisian population.;/pubmed/27834325;Mahjoubi I, Kallel A, Sbaï MH, Ftouhi B, Ben Halima M, Jemaa Z, Feki M, Slimane H, Jemaa R, Kaabachi N.;Indian J Med Res. 2016 Jul;;;;;;;;;;;;;;;
Improvement in insulin sensitivity following intensive insulin therapy and association of glucagon with long-term diabetes remission.;/pubmed/27834301;Zhang B, Chen YY, Yang ZJ, Wang X, Li GW.;J Int Med Res. 2016 Dec;;;;;;;;;;;;;;;
Gymnema sylvestre for diabetes: From traditional herb to future s therapeutic.;/pubmed/27834124;Tiwari P, Ahmad K, Baig MH.;Curr Pharm Des. 2016 Nov 8. [Epub ahead of print];Curr Pharm Des.  2016;PubMed;citation;PMID:27834124;pubmed;27834124;create date:2016/11/12 | first author:Tiwari P;;;;;;;;
Auditory brain stem response and cortical evoked potentials in children with type 1 diabetes mellitus.;/pubmed/27834105;Radwan HM, El-Gharib AM, Erfan AA, Emara AA.;Acta Otolaryngol. 2017 May;;;;;;;;;;;;;;;
Urinary Albumin Excretion Reflects Cardiovascular Risk in Postmenopausal Women without Diabetes: The 2011 to 2013 Korean National Health and Nutrition Examination Survey.;/pubmed/27834079;Ahn HJ, Moon DS, Kang DY, Lee JI, Kim DY, Kim JH, Kim SY, Bae HY.;Endocrinol Metab (Seoul). 2016 Dec;;;;;;;;;;;;;;;
Changes in rat ovary with experimentally induced diabetes and the effects of lycopene on those changes.;/pubmed/27833962;Yildiz M, Sandikci M.;Rom J Morphol Embryol. 2016;;;;;;;;;;;;;;;
The Feasibility of Health Trainer Improved Patient Self-Management in Patients with Low Health Literacy and Poorly Controlled Diabetes: A Pilot Randomised Controlled Trial.;/pubmed/27833922;Protheroe J, Rathod T, Bartlam B, Rowlands G, Richardson G, Reeves D.;J Diabetes Res. 2016;;;;;;;;;;;;;;;
Reduced HMGB 1-Mediated Pathway and Oxidative Stress in Resveratrol-Treated Diabetic Mice: A Possible Mechanism of Cardioprotection of Resveratrol in Diabetes Mellitus.;/pubmed/27833703;Wu H, Sheng ZQ, Xie J, Li R, Chen L, Li GN, Wang L, Xu B.;Oxid Med Cell Longev. 2016;;;;;;;;;;;;;;;
Serum Lipoprotein (a) Levels in Black South African Type 2 Diabetes Mellitus Patients.;/pubmed/27833702;Joseph J, Ganjifrockwala F, George G.;Oxid Med Cell Longev. 2016;;;;;;;;;;;;;;;
Factors that could explain the increasing prevalence of type 2 diabetes among adults in a Canadian province: a critical review and analysis.;/pubmed/27833664;Thibault V, Bélanger M, LeBlanc E, Babin L, Halpine S, Greene B, Mancuso M.;Diabetol Metab Syndr. 2016 Nov 9;;;;;;;;;;;;;;;
Plasma and Urinary Type IV Collagen Levels for Early Detection of Nephropathy in Type 2 Diabetes Mellitus Patients.;/pubmed/27833513;Mahendran KB, Bhaskar MV, Santha K, Inmozhi R, Perumal KK.;Int J Health Sci (Qassim). 2016 Oct;;;;;;;;;;;;;;;
Comorbidity and its relationship with health service use and cost in community-living older adults with diabetes: A population-based study in Ontario; Canada.;/pubmed/27833049;Fisher K, Griffith L, Gruneir A, Panjwani D, Gandhi S, Sheng LL, Gafni A, Chris P, Markle-Reid M, Ploeg J.;Diabetes Res Clin Pract. 2016 Dec;;;;;;;;;;;;;;
"The effects of intermittent compared to continuous energy restriction on glycaemic control in type 2 diabetes; a pragmatic pilot trial.";/pubmed/27833048;Carter S, Clifton PM, Keogh JB.;Diabetes Res Clin Pract. 2016 Dec;;;;;;;;;;;;;;;
The role of natriuretic peptides in diabetes and its complications.;/pubmed/27832993;Feng Y, Wang D, Bi H, Zhang H.;Biomed Pharmacother. 2016 Dec;;;;;;;;;;;;;;;
ZnT8(107-115)/HLA-A2 dimers attenuate the severity of diabetes by inducing CD8+ T cell tolerance.;/pubmed/27832962;Zhang M, Zhou Z, Wang J, Li S.;Immunol Lett. 2016 Dec;;;;;;;;;;;;;;;
Risk Detection Among Asymptomatic Patients With Diabetes: Is It Time for a Varied Approach?;/pubmed/27832904;Shaw LJ, Chandrashekhar Y, Narula J.;JACC Cardiovasc Imaging. 2016 Nov;;;;;;;;;;;;;;;
Impaired adipose tissue lipid storage; but not altered lipolysis; contributes to elevated levels of NEFA in type 2 diabetes. Degree of hyperglycemia and adiposity are important factors.;/pubmed/27832864;Pereira MJ, Skrtic S, Katsogiannos P, Abrahamsson N, Sidibeh CO, Dahgam S, Månsson M, Risérus U, Kullberg J, Eriksson JW.;Metabolism. 2016 Dec;;;;;;;;;;;;;
Effects of equivalent sympathetic activation during hypoglycemia on endothelial function and pro-atherothrombotic balance in healthy individuals and obese standard treated type 2 diabetes.;/pubmed/27832858;Joy NG, Mikeladze M, Younk LM, Tate DB, Davis SN.;Metabolism. 2016 Dec;;;;;;;;;;;;;;;
Incidence; prevalence and genetic determinants of neonatal diabetes mellitus: a systematic review and meta-analysis protocol.;/pubmed/27832816;Nansseu JR, Ngo-Um SS, Balti EV.;Syst Rev. 2016 Nov 10;;;;;;;;;;;;;;
Type 2 diabetes compromises the value of non-invasively measured augmentation index in predicting the severity of coronary artery disease: a hospital-based observational study.;/pubmed/27832749;Wu S, Zhou Y, Li Y, Liu Y, Shi D, Liu X, Liu W, Yu Y, Jia S.;BMC Cardiovasc Disord. 2016 Nov 10;;;;;;;;;;;;;;;
Tumor Necrosis Factor-α is Inversely Related to Free Thyroxine in Euthyroid Subjects Without Diabetes.;/pubmed/27832672;van Tienhoven-Wind LJ, Dullaart RP.;Horm Metab Res. 2017 Feb;;;;;;;;;;;;;;;
Cell-Derived Microparticles in Patients with Type 2 Diabetes Mellitus: a Systematic Review and Meta-Analysis.;/pubmed/27832642;Li S, Wei J, Zhang C, Li X, Meng W, Mo X, Zhang Q, Liu Q, Ren K, Du R, Tian H, Li J.;Cell Physiol Biochem. 2016;;;;;;;;;;;;;;;
Effect of Type I Diabetes on the Proteome of Mouse Oocytes.;/pubmed/27832638;Jiang G, Zhang G, An T, He Z, Kang L, Yang X, Gu Y, Zhang D, Wang Y, Gao S.;Cell Physiol Biochem. 2016;;;;;;;;;;;;;;;
Title;URL;Description;Details;ShortDetails;Resource;Type;Identifiers;Db;EntrezUID;Properties;;;;;;;;
Clinical Pharmacokinetics and Pharmacodynamics of Antihyperglycemic Medications in Children and Adolescents with Type 2 Diabetes Mellitus.;/pubmed/27832452;Akhlaghi F, Matson KL, Mohammadpour AH, Kelly M, Karimani A.;Clin Pharmacokinet. 2016 Nov 10. [Epub ahead of print] Review.;Clin Pharmacokinet.  2016;PubMed;citation;PMID:27832452;pubmed;27832452;create date:2016/11/11 | first author:Akhlaghi F;;;;;;;;
Nocturia and mortality in male patients with type 2 diabetes mellitus.;/pubmed/27832400;Kawada T.;Int Urol Nephrol. 2017 Feb;;;;;;;;;;;;;;;
Diabetes; diabetes treatment; and mammographic density in Danish Diet; Cancer; and Health cohort.;/pubmed/27832382;Buschard K, Thomassen K, Lynge E, Vejborg I, Tjønneland A, von Euler-Chelpin M, Andersen ZJ.;Cancer Causes Control. 2017 Jan;;;;;;;;;;;
The association between single nucleotide polymorphisms of the Apelin gene and diabetes mellitus in a Chinese population.;/pubmed/27831922;Zheng H, Fan X, Li X, Zhang Y, Fan Y, Zhang N, Song Y, Ren F, Shen C, Shen J, Yang J.;J Pediatr Endocrinol Metab. 2016 Dec 1;;;;;;;;;;;;;;;
Influence and significance of intervening diabetes microRNA expression profile of NOD mice with exendin-4.;/pubmed/27831640;He JS, Lian CW, Fang YL, Wu JZ, Ye XL, Zhu SB.;Eur Rev Med Pharmacol Sci. 2016 Oct;;;;;;;;;;;;;;;
Diabetes: Incretin mimetics and insulin - closing the gap to normoglycaemia.;/pubmed/27831571;Nauck MA, Meier JJ.;Nat Rev Endocrinol. 2016 Nov 10;;;;;;;;;;;;;;;
Predictors of Depression Among Adult Women With Diabetes in the United States: An Analysis Using National Health and Nutrition Examination Survey Data From 2007 to 2012.;/pubmed/27831524;Strauss SM, Rosedale MT, Rindskopf DM.;Diabetes Educ. 2016 Dec;;;;;;;;;;;;;;;
Effectiveness of a Family-based Diabetes Self-management Educational Intervention for Chinese Adults With Type 2 Diabetes in Wuhan; China.;/pubmed/27831523;Cai C, Hu J.;Diabetes Educ. 2016 Dec;;;;;;;;;;;;;;
AADE's Diabetes Prevention Program: Highlighting the Role of the Diabetes Educator.;/pubmed/27831522;Fain JA.;Diabetes Educ. 2016 Dec;;;;;;;;;;;;;;;
Evaluating the Validity and Reliability of the Beliefs About Medicines Questionnaire in Low-Income; Spanish-Speaking Patients With Diabetes in the United States.;/pubmed/27831521;Jimenez K, Vargas C, Garcia K, Guzman H, Angulo M, Billimek J.;Diabetes Educ. 2017 Feb;;;;;;;;;;;;;;
Hyperglycaemia inhibits REG3A expression to exacerbate TLR3-mediated skin inflammation in diabetes.;/pubmed/27830702;Wu Y, Quan Y, Liu Y, Liu K, Li H, Jiang Z, Zhang T, Lei H, Radek KA, Li D, Wang Z, Lu J, Wang W, Ji S, Xia Z, Lai Y.;Nat Commun. 2016 Nov 10;;;;;;;;;;;;;;;
Liraglutide improves cardiac function in patients with type 2 diabetes and chronic heart failure.;/pubmed/27830456;Arturi F, Succurro E, Miceli S, Cloro C, Ruffo M, Maio R, Perticone M, Sesti G, Perticone F.;Endocrine. 2016 Nov 9. [Epub ahead of print];Endocrine.  2016;PubMed;citation;PMID:27830456;pubmed;27830456;create date:2016/11/11 | first author:Arturi F;;;;;;;;
The association of diabetes and obesity with prostate cancer aggressiveness among Black Americans and White Americans in a population-based study.;/pubmed/27830399;Khan S, Cai J, Nielsen ME, Troester MA, Mohler JL, Fontham ET, Hendrix LH, Farnan L, Olshan AF, Bensen JT.;Cancer Causes Control. 2016 Dec;;;;;;;;;;;;;;;
A longitudinal study of iron status during pregnancy and the risk of gestational diabetes: findings from a prospective; multiracial cohort.;/pubmed/27830277;Rawal S, Hinkle SN, Bao W, Zhu Y, Grewal J, Albert PS, Weir NL, Tsai MY, Zhang C.;Diabetologia. 2017 Feb;;;;;;;;;;;;;;
Meeting the Challenge of Diabetes in Ageing and Diverse Populations: A Review of the Literature from the UK.;/pubmed/27830158;Wilkinson E, Waqar M, Sinclair A, Randhawa G.;J Diabetes Res. 2016;;;;;;;;;;;;;;;
Linking High Risk Postpartum Women with a Technology Enabled Health Coaching Program to Reduce Diabetes Risk and Improve Wellbeing: Program Description; Case Studies; and Recommendations for Community Health Coaching Programs.;/pubmed/27830157;Athavale P, Thomas M, Delgadillo-Duenas AT, Leong K, Najmabadi A, Harleman E, Rios C, Quan J, Soria C, Handley MA.;J Diabetes Res. 2016;;;;;;;;;;;;;
Administration of Traditional Chinese Blood Circulation Activating Drugs for Microvascular Complications in Patients with Type 2 Diabetes Mellitus.;/pubmed/27830156;He L, Wang H, Gu C, He X, Zhao L, Tong X.;J Diabetes Res. 2016;;;;;;;;;;;;;;;
High Systolic and Diastolic Blood Pressure Variability Is Correlated with the Occurrence of Peripheral Arterial Disease in the First Decade following a Diagnosis of Type 2 Diabetes Mellitus: A New Biomarker from Old Measurement.;/pubmed/27830155;Yeh CH, Yu HC, Huang TY, Huang PF, Wang YC, Chen TP, Yin SY.;Biomed Res Int. 2016;;;;;;;;;;;;;;;
Activation of ALDH2 with Low Concentration of Ethanol Attenuates Myocardial Ischemia/Reperfusion Injury in Diabetes Rat Model.;/pubmed/27829984;Kang PF, Wu WJ, Tang Y, Xuan L, Guan SD, Tang B, Zhang H, Gao Q, Wang HJ.;Oxid Med Cell Longev. 2016;;;;;;;;;;;;;;;
The Role of Anethum graveolens L. (Dill) in the Management of Diabetes.;/pubmed/27829842;Goodarzi MT, Khodadadi I, Tavilani H, Abbasi Oshaghi E.;J Trop Med. 2016;;;;;;;;;;;;;;;
Interleukin-22 Might Act as a Double-Edged Sword in Type 2 Diabetes and Coronary Artery Disease.;/pubmed/27829708;Gong F, Wu J, Zhou P, Zhang M, Liu J, Liu Y, Lu X, Liu Z.;Mediators Inflamm. 2016;;;;;;;;;;;;;;;
Disability-adjusted Life Years for Diabetes in Cuban Children and Adolescents; 1990-2010.;/pubmed/27829649;Domínguez-Alonso E.;MEDICC Rev. 2016 Oct;;;;;;;;;;;;;;
Telemedicine Technologies for Diabetes in Pregnancy: A Systematic Review and Meta-Analysis.;/pubmed/27829574;Ming WK, Mackillop LH, Farmer AJ, Loerup L, Bartlett K, Levy JC, Tarassenko L, Velardo C, Kenworthy Y, Hirst JE.;J Med Internet Res. 2016 Nov 9;;;;;;;;;;;;;;;
Erratum to: The therapeutic efficacy of intensive medical therapy in ameliorating high-density lipoprotein dysfunction in subjects with type two diabetes.;/pubmed/27829435;Kashyap S, Kheniser K, Li L, Bena J, Kasumov T.;Lipids Health Dis. 2016 Nov 9;;;;;;;;;;;;;;;
Gastric bypass surgery reveals independency of obesity and diabetes melitus type 2.;/pubmed/27829412;Fenger M, Hansen DL, Worm D, Hvolris L, Kristiansen VB, Carlsson ER, Madsbad S.;BMC Endocr Disord. 2016 Nov 9;;;;;;;;;;;;;;;
Diabetes And Nutritional Screening In Post-Bariatric Patients.;/pubmed/27829330;Pena ME, Newaz TB.;Curr Diabetes Rev. 2016 Nov 7. [Epub ahead of print];Curr Diabetes Rev.  2016;PubMed;citation;PMID:27829330;pubmed;27829330;create date:2016/11/11 | first author:Pena ME;;;;;;;;
Growth and BMI during the first 14 y of life in offspring from women with type 1 or type 2 diabetes mellitus.;/pubmed/27828938;Hammoud NM, de Valk HW, van Rossem L, Biesma DH, Wit JM, Visser GH.;Pediatr Res. 2017 Feb;;;;;;;;;;;;;;;
Short-term changes in sleep duration and risk of type 2 diabetes: Kailuan prospective study.;/pubmed/27828862;Song Q, Liu X, Zhou W, Wang X, Wu S.;Medicine (Baltimore). 2016 Nov;;;;;;;;;;;;;;;
Association of self-reported recurrent mild hypoglycemia with incident cardiovascular disease and all-cause mortality in patients with type 2 diabetes: Prospective analysis of the Joint Asia Diabetes Evaluation Registry.;/pubmed/27828844;Luk AO, Ho TS, Lau ES, Ko GT, Ozaki R, Tsang CC, Kong AP, Ma RC, So WY, Chow FC, Chan JC.;Medicine (Baltimore). 2016 Nov;;;;;;;;;;;;;;;
Implementation of the YMCA Diabetes Prevention Program throughout an Integrated Health System: A Translational Study.;/pubmed/27828773;Adams R, Hebert CJ, Mcvey L, Williams R.;Perm J. 2016 Fall;;;;;;;;;;;;;;;
Association between race; obesity and diabetes in elderly community dwellers: data from the FIBRA study.;/pubmed/27828611;Moretto MC, Fontaine AM, Garcia CA, Neri AL, Guariento ME.;Cad Saude Publica. 2016 Nov 3;;;;;;;;;;;;;;
Diabetes in the elderly: drug use and the risk of drug interaction.;/pubmed/27828578;Prado MA, Francisco PM, Barros MB.;Cien Saude Colet. 2016 Nov;;;;;;;;;;;;;;;
Announcement: National Diabetes Month - November 2016.;/pubmed/27828003;[No authors listed];MMWR Morb Mortal Wkly Rep. 2016 Nov 4;;;;;;;;;;;;;;;
Zinc Status and Risk of Cardiovascular Diseases and Type 2 Diabetes Mellitus-A Systematic Review of Prospective Cohort Studies.;/pubmed/27827959;Chu A, Foster M, Samman S.;Nutrients. 2016 Nov 5;;;;;;;;;;;;;;;
Lipidomics-Reshaping the Analysis and Perception of Type 2 Diabetes.;/pubmed/27827927;Markgraf DF, Al-Hasani H, Lehr S.;Int J Mol Sci. 2016 Nov 4;;;;;;;;;;;;;;;
MicroRNA-126 overexpression rescues diabetes-induced impairment in efferocytosis of apoptotic cardiomyocytes.;/pubmed/27827458;Suresh Babu S, Thandavarayan RA, Joladarashi D, Jeyabal P, Krishnamurthy S, Bhimaraj A, Youker KA, Krishnamurthy P.;Sci Rep. 2016 Nov 9;;;;;;;;;;;;;;;
Fatty acid intake and its dietary sources in relation with markers of type 2 diabetes risk: The NEO study.;/pubmed/27827396;Wanders AJ, Alssema M, de Koning EJ, le Cessie S, de Vries JH, Zock PL, Rosendaal FR, Heijer MD, de Mutsert R.;Eur J Clin Nutr. 2017 Feb;;;;;;;;;;;;;;;
Comparative Effectiveness of Second-Line Agents for the Treatment of Diabetes Type 2 in Preventing Kidney Function Decline.;/pubmed/27827311;Hung AM, Roumie CL, Greevy RA, Grijalva CG, Liu X, Murff HJ, Ikizler TA, Griffin MR.;Clin J Am Soc Nephrol. 2016 Dec 7;;;;;;;;;;;;;;;
Second-Line Agents for the Treatment of Type 2 Diabetes and Prevention of CKD.;/pubmed/27827307;Yu MK, Kim SH.;Clin J Am Soc Nephrol. 2016 Dec 7;;;;;;;;;;;;;;;
Healthcare costs of urinary tract infections and genital mycotic infections among patients with type 2 diabetes mellitus initiated on canagliflozin: a retrospective cohort study.;/pubmed/27826987;Amos TB, Montejano L, Juneau P, Bolge SC.;J Med Econ. 2017 Mar;;;;;;;;;;;;;;;
On the problems of the so-called afternoon diabetes.;/pubmed/27826980;Zuffa M.;Bratisl Lek Listy. 2016;;;;;;;;;;;;;;;
Use of Mobile Health Technology in the Prevention and Management of Diabetes Mellitus.;/pubmed/27826901;Hartz J, Yingling L, Powell-Wiley TM.;Curr Cardiol Rep. 2016 Dec;;;;;;;;;;;;;;;
